,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,system_attrs,intermediate_values,intermediate_values
,,,,,,cliprange,ent_coef,gamma,lam,learning_rate,n_steps,noptepochs,_number,0,1
0,0,TrialState.COMPLETE,0.03192104026675224,2019-09-22 01:28:29.924299,2019-09-22 03:02:58.395533,0.28987920499524966,1.382340069735303e-07,0.994687753633778,0.9668385604110425,0.003785013379635157,90.10858992521855,24.824981657218878,0,-0.055124249309301376,0.03192104026675224
1,1,TrialState.COMPLETE,-0.055820442736148834,2019-09-22 03:02:58.416675,2019-09-22 04:10:51.052541,0.15673047389652978,0.005145005126691355,0.9375109860561494,0.8939924529656814,0.4710297757941714,60.86532055844214,13.021054589376055,1,0.03898998349905014,-0.055820442736148834
2,2,TrialState.COMPLETE,-0.025691384449601173,2019-09-22 04:10:51.065826,2019-09-22 04:55:06.857263,0.3308110134445822,2.297168530783715e-06,0.9914464456747945,0.8110086276150346,3.386913601277192e-05,363.7470911300947,1.1423419981346703,2,0.021014032885432243,-0.025691384449601173
3,3,TrialState.COMPLETE,0.0,2019-09-22 04:55:06.871115,2019-09-22 05:39:57.138481,0.3974606456112111,1.4567209957185558e-05,0.9173610952443298,0.8071778169503411,0.7070795975639336,1779.082799210175,4.1171904224740405,3,0.0,0.0
4,4,TrialState.COMPLETE,-0.05141482874751091,2019-09-22 05:39:57.153108,2019-09-22 06:38:41.161094,0.2668120684510983,0.0001123894292050861,0.9391973108460121,0.8789545362092943,0.00010179263199758284,43.908045236421906,7.1501691801581675,4,0.006925848312675953,-0.05141482874751091
5,5,TrialState.PRUNED,-0.004629261326044798,2019-09-22 06:38:41.176244,2019-09-22 07:24:12.472904,0.24406994577731797,6.218652873475544e-06,0.9179856247101852,0.891059473972492,0.00021679902528438572,726.0904728336034,1.2800749432761585,5,0.07713727653026581,-0.004629261326044798
6,6,TrialState.COMPLETE,0.002785567892715335,2019-09-22 07:24:12.718270,2019-09-22 08:09:41.967135,0.13223903344115828,0.00022825879321274251,0.9111551815762458,0.819096379603538,0.002879797861960931,438.74891587736846,2.232749027326981,6,-0.10873948037624359,0.002785567892715335
7,7,TrialState.COMPLETE,-0.05944689363241196,2019-09-22 08:09:41.981728,2019-09-22 08:55:31.328006,0.3875812727985356,1.5003668552818184e-08,0.9004967071246657,0.8912881640636133,0.0023258963627878744,289.3233359198337,3.2873281332815854,7,-0.012825651094317436,-0.05944689363241196
8,8,TrialState.COMPLETE,-0.03999659791588783,2019-09-22 08:55:31.342885,2019-09-22 09:40:42.563011,0.1437596714873196,1.5523665259095037e-08,0.9395010756496286,0.834314757601688,1.735249836976058e-05,321.88200408186447,1.9153213943724057,8,0.051687173545360565,-0.03999659791588783
9,9,TrialState.PRUNED,0.0,2019-09-22 09:40:42.578718,2019-09-22 10:35:41.689282,0.15778657368277346,2.8148555103859914e-05,0.9630959900221461,0.9275169695435127,0.17541184805220936,266.04119358961674,17.696316681882827,9,0.0,0.0
10,10,TrialState.COMPLETE,0.0536673367023468,2019-09-22 10:35:41.933946,2019-09-22 11:22:02.564943,0.14244843796622042,0.005108604319777021,0.9627263275000111,0.9533993078208034,2.7867660571256724e-05,167.27434024469758,2.85750470063984,10,-0.05119638890028,0.0536673367023468
11,11,TrialState.PRUNED,0.0,2019-09-22 11:22:02.580915,2019-09-22 13:41:43.320893,0.21655026738755306,6.83801592355275e-05,0.9288132530667221,0.9353436610756621,0.007956496049533602,20.946704679331464,22.437810422605875,11,0.0,0.0
12,12,TrialState.PRUNED,0.0,2019-09-22 13:41:43.566023,2019-09-22 14:30:18.798452,0.3820534893100881,7.766891021220723e-05,0.983691009762335,0.9152697916068226,0.02015705755826439,92.2582632999766,2.662003320525449,12,0.0,0.0
13,13,TrialState.COMPLETE,0.032020844519138336,2019-09-22 14:30:19.127729,2019-09-22 15:27:01.047598,0.20056885640023703,3.1109428314919186e-05,0.9195991820102072,0.9631810950178397,0.04224522531887608,378.0770418335053,19.42605255371651,13,-0.047174349427223206,0.032020844519138336
14,14,TrialState.PRUNED,-0.008661321364343166,2019-09-22 15:27:01.074021,2019-09-22 20:24:11.496833,0.3959255318106829,1.0043576451242268e-08,0.9008961200493008,0.9233382725370567,0.0007786687658841442,16.472597250889727,47.388665955904074,14,0.012389980256557465,-0.008661321364343166
15,15,TrialState.COMPLETE,-0.04997194558382034,2019-09-22 20:24:11.748523,2019-09-22 21:10:36.230374,0.3984525936025162,1.5945010535010237e-08,0.9006094546771564,0.9302276619413437,0.0005487345179279028,1779.77451489652,7.102883743315937,15,0.05705410987138748,-0.04997194558382034
16,16,TrialState.RUNNING,,2019-09-22 21:10:36.254323,,0.3490911795990342,3.071063382405544e-07,0.9682577103381133,0.8553221987205571,0.006822883616134618,21.293004142447273,44.336353918330815,16,,
